                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00748,                0.02077,                 1.3278,                 1.2328,                0.69641,                0.42905,                0.48462,                 0.3374,                0.61419,                0.35429,                0.38171,                0.21399,                0.00707,                0.01688,                  0.969,                 1.1461,                0.07002,              0.0033311,              0.0033311
                      2,                0.00671,                0.01716,                0.94542,                 1.1577,                0.71885,                0.47058,                0.53114,                0.36815,                0.63333,                0.38406,                0.41506,                0.22985,                0.00694,                0.01614,                0.90565,                 1.1325,               0.039888,              0.0065325,              0.0065325
                      3,                0.00681,                0.01677,                0.92809,                 1.1628,                0.70393,                0.46602,                0.52264,                0.35852,                 0.6255,                0.38326,                0.41347,                0.22526,                0.00724,                0.01622,                0.92909,                 1.1611,              0.0096241,              0.0096019,              0.0096019
                      4,                 0.0069,                0.01682,                0.92757,                 1.1724,                0.70619,                0.47883,                0.53171,                0.36495,                0.61807,                0.39617,                0.42048,                0.22877,                0.00715,                0.01595,                0.89377,                 1.1525,               0.009406,               0.009406,               0.009406
                      5,                0.00675,                0.01635,                 0.8819,                 1.1595,                0.72731,                0.49691,                0.55047,                 0.3821,                0.64647,                0.40746,                0.43765,                0.23659,                 0.0069,                0.01551,                0.85471,                 1.1286,               0.009208,               0.009208,               0.009208
                      6,                 0.0066,                0.01599,                0.84666,                 1.1435,                0.74335,                0.50697,                0.56202,                0.39043,                0.64625,                0.42464,                0.44644,                0.24459,                0.00675,                 0.0152,                 0.8226,                 1.1178,                0.00901,                0.00901,                0.00901
                      7,                0.00646,                 0.0157,                0.82171,                 1.1344,                0.77569,                0.50486,                0.57607,                0.40234,                0.68937,                0.42818,                0.46847,                0.25699,                0.00666,                0.01494,                0.82873,                 1.1046,               0.008812,               0.008812,               0.008812
                      8,                0.00637,                0.01545,                 0.7971,                  1.124,                0.76691,                0.51958,                0.58259,                0.41099,                0.67912,                0.43903,                0.47165,                0.26228,                0.00657,                0.01467,                0.78098,                 1.0916,               0.008614,               0.008614,               0.008614
                      9,                 0.0063,                0.01521,                0.77896,                 1.1172,                0.78215,                0.52192,                0.59034,                0.41647,                0.69252,                0.44402,                0.47805,                0.26491,                0.00643,                0.01442,                0.75197,                 1.0836,               0.008416,               0.008416,               0.008416
                     10,                 0.0062,                0.01501,                 0.7601,                 1.1084,                0.80131,                0.52624,                0.60065,                0.42395,                0.70424,                0.44542,                0.48218,                0.26768,                 0.0064,                0.01424,                0.74739,                 1.0787,               0.008218,               0.008218,               0.008218
                     11,                0.00614,                0.01486,                0.74723,                 1.1033,                0.74969,                 0.5325,                0.59527,                0.42385,                 0.6651,                0.44666,                0.47914,                0.26802,                0.00631,                0.01412,                0.73684,                 1.0676,                0.00802,                0.00802,                0.00802
                     12,                0.00607,                0.01468,                0.72998,                 1.0958,                0.79404,                0.53507,                0.60483,                0.43311,                0.71666,                0.45489,                0.49584,                0.27714,                0.00621,                0.01391,                0.71647,                  1.062,               0.007822,               0.007822,               0.007822
                     13,                0.00602,                0.01453,                0.71838,                 1.0908,                0.78539,                0.53786,                0.61131,                0.43619,                0.69887,                0.45966,                0.49934,                0.27571,                0.00617,                0.01383,                0.71075,                 1.0585,               0.007624,               0.007624,               0.007624
                     14,                0.00594,                0.01439,                0.70607,                 1.0849,                0.79404,                0.54195,                0.61599,                0.44213,                0.70755,                0.45865,                0.49871,                0.27783,                 0.0061,                0.01372,                0.69453,                 1.0532,               0.007426,               0.007426,               0.007426
                     15,                0.00589,                0.01428,                0.69613,                 1.0824,                0.79996,                0.55351,                 0.6224,                0.44837,                0.71218,                0.46254,                0.50347,                 0.2838,                0.00607,                0.01355,                0.68791,                 1.0511,               0.007228,               0.007228,               0.007228
                     16,                0.00584,                0.01413,                0.68004,                 1.0753,                0.80156,                0.55197,                0.61993,                0.44745,                0.71744,                0.47989,                0.51382,                0.28824,                0.00599,                0.01346,                0.67415,                  1.045,                0.00703,                0.00703,                0.00703
                     17,                0.00579,                0.01408,                0.67469,                 1.0732,                0.81013,                0.55517,                0.62424,                0.44982,                0.70703,                 0.4752,                0.51004,                0.28938,                0.00597,                0.01338,                0.66691,                  1.041,               0.006832,               0.006832,               0.006832
                     18,                0.00576,                0.01395,                0.66294,                 1.0691,                0.79583,                0.56071,                0.62764,                0.45399,                 0.7119,                0.47443,                0.51376,                0.29047,                0.00592,                0.01328,                0.65818,                 1.0372,               0.006634,               0.006634,               0.006634
                     19,                0.00571,                0.01382,                0.65364,                 1.0651,                0.79693,                0.56814,                0.63609,                0.46195,                0.72047,                0.48366,                0.52076,                0.29486,                 0.0059,                 0.0132,                0.65293,                 1.0344,               0.006436,               0.006436,               0.006436
                     20,                0.00566,                0.01377,                0.64533,                 1.0602,                0.80587,                0.56234,                0.63721,                0.46357,                0.71873,                0.48156,                0.52097,                0.29632,                0.00583,                0.01312,                0.64177,                 1.0279,               0.006238,               0.006238,               0.006238
                     21,                0.00561,                 0.0137,                0.63669,                 1.0565,                0.80268,                0.56675,                0.64008,                0.46729,                0.73969,                0.48036,                0.52824,                0.30018,                 0.0058,                0.01305,                0.63613,                 1.0265,                0.00604,                0.00604,                0.00604
                     22,                0.00559,                0.01362,                0.63071,                 1.0545,                0.80799,                0.56569,                0.64207,                0.46911,                0.72983,                0.49133,                0.53375,                 0.3034,                0.00576,                0.01298,                0.63071,                  1.023,               0.005842,               0.005842,               0.005842
                     23,                0.00555,                0.01353,                0.62359,                 1.0516,                0.81273,                0.57096,                0.64259,                0.47218,                0.73191,                0.49359,                0.53387,                0.30278,                0.00572,                0.01288,                0.61942,                 1.0194,               0.005644,               0.005644,               0.005644
                     24,                0.00551,                0.01346,                0.61366,                 1.0477,                0.81168,                0.56883,                0.64621,                0.47201,                0.72875,                0.48641,                0.53206,                0.30289,                 0.0057,                0.01283,                0.61866,                 1.0181,               0.005446,               0.005446,               0.005446
                     25,                0.00549,                0.01338,                0.60615,                 1.0444,                0.84119,                 0.5694,                0.65143,                0.47707,                0.75975,                0.48695,                0.53737,                0.30661,                0.00567,                0.01278,                0.61067,                  1.015,               0.005248,               0.005248,               0.005248
                     26,                0.00545,                0.01332,                0.60096,                  1.041,                0.81572,                0.59037,                0.65737,                0.48074,                0.74029,                0.49477,                0.53753,                0.30872,                0.00564,                 0.0127,                0.60643,                 1.0142,                0.00505,                0.00505,                0.00505
                     27,                0.00541,                0.01327,                0.59519,                 1.0381,                 0.8294,                0.58333,                0.65529,                0.48105,                0.73827,                0.49384,                0.53915,                0.30998,                0.00562,                0.01268,                0.60299,                 1.0104,               0.004852,               0.004852,               0.004852
                     28,                0.00539,                0.01324,                0.58818,                 1.0364,                0.81642,                0.58214,                0.65523,                0.48325,                0.71641,                 0.5024,                0.53924,                0.30991,                0.00557,                 0.0126,                0.59767,                 1.0078,               0.004654,               0.004654,               0.004654
                     29,                0.00535,                0.01318,                0.58177,                 1.0339,                0.82576,                0.58522,                0.66107,                0.48756,                0.72884,                0.49569,                0.53823,                0.30997,                0.00556,                0.01257,                0.59276,                 1.0079,               0.004456,               0.004456,               0.004456
                     30,                0.00529,                0.01306,                0.57164,                 1.0285,                0.80825,                0.59035,                0.65751,                0.48676,                 0.7456,                0.49709,                 0.5441,                0.31177,                0.00554,                0.01251,                0.58892,                 1.0062,               0.004258,               0.004258,               0.004258
                     31,                0.00528,                0.01302,                0.56932,                 1.0274,                0.83341,                0.58664,                0.66289,                0.49108,                0.74684,                0.50479,                0.54894,                0.31326,                0.00551,                 0.0125,                0.58241,                 1.0013,                0.00406,                0.00406,                0.00406
                     32,                0.00525,                0.01293,                0.56133,                 1.0231,                0.82917,                 0.5925,                0.66302,                0.49153,                0.74352,                0.50344,                0.54647,                0.31338,                0.00548,                0.01244,                0.57768,                 1.0017,               0.003862,               0.003862,               0.003862
                     33,                0.00523,                0.01294,                0.55741,                 1.0213,                0.82743,                 0.5962,                0.66717,                0.49501,                0.74565,                0.50579,                0.54998,                 0.3159,                0.00546,                0.01239,                0.57586,                0.99701,               0.003664,               0.003664,               0.003664
                     34,                 0.0052,                0.01289,                0.55231,                 1.0203,                0.82703,                0.59962,                 0.6698,                0.49658,                 0.7294,                0.51284,                 0.5502,                0.31559,                0.00546,                0.01239,                0.57206,                0.99929,               0.003466,               0.003466,               0.003466
                     35,                0.00515,                0.01281,                0.54378,                 1.0155,                0.83155,                0.60317,                0.67118,                 0.4979,                0.74235,                0.50812,                0.54937,                0.31868,                0.00543,                0.01232,                0.56767,                0.99637,               0.003268,               0.003268,               0.003268
                     36,                 0.0051,                 0.0127,                0.53553,                 1.0125,                0.82232,                0.60163,                0.67239,                0.49822,                0.73572,                0.50818,                0.55147,                0.31876,                 0.0054,                0.01227,                0.56557,                0.99482,                0.00307,                0.00307,                0.00307
                     37,                0.00509,                0.01268,                0.53182,                 1.0095,                0.84864,                0.60132,                0.67584,                0.50068,                0.73987,                0.51619,                0.55427,                0.32028,                0.00539,                0.01225,                0.56171,                0.99312,               0.002872,               0.002872,               0.002872
                     38,                0.00506,                0.01264,                0.52655,                 1.0072,                 0.8255,                0.60682,                0.67499,                0.49899,                0.75072,                0.50751,                0.55403,                0.31952,                0.00538,                 0.0122,                0.55909,                 0.9915,               0.002674,               0.002674,               0.002674
                     39,                0.00503,                0.01258,                 0.5217,                 1.0053,                0.84187,                0.60328,                0.67732,                0.50207,                0.74842,                 0.5123,                0.55697,                0.32305,                0.00537,                 0.0122,                0.55816,                0.99297,               0.002476,               0.002476,               0.002476
                     40,                0.00501,                0.01256,                0.51641,                 1.0036,                0.82784,                0.60901,                 0.6769,                0.50387,                0.74356,                0.51604,                0.55933,                0.32087,                0.00536,                0.01216,                0.55638,                0.99206,               0.002278,               0.002278,               0.002278
                     41,                0.00513,                0.01189,                0.49398,                0.99837,                0.82655,                0.60941,                0.67666,                0.50229,                0.73282,                0.51437,                0.55331,                0.31841,                0.00538,                 0.0122,                0.56038,                0.99414,                0.00208,                0.00208,                0.00208
                     42,                0.00507,                0.01177,                 0.4845,                0.99207,                0.84169,                0.61108,                0.67863,                0.50492,                0.75493,                0.51471,                0.56067,                0.32256,                0.00537,                0.01219,                0.55554,                0.99249,               0.001882,               0.001882,               0.001882
                     43,                0.00502,                0.01172,                 0.4769,                0.98714,                0.83577,                0.60902,                0.67932,                0.50592,                0.76207,                0.50867,                0.55804,                 0.3215,                0.00536,                0.01215,                0.55268,                0.99066,               0.001684,               0.001684,               0.001684
                     44,                0.00498,                0.01167,                0.46927,                0.98283,                0.84493,                0.61042,                0.68004,                0.50549,                0.74504,                0.51665,                0.55945,                0.32166,                0.00534,                0.01214,                0.55029,                0.99066,               0.001486,               0.001486,               0.001486
                     45,                0.00493,                0.01161,                0.46293,                0.97834,                0.84678,                0.60375,                0.67884,                0.50581,                0.74425,                 0.5122,                0.55486,                0.32308,                0.00532,                0.01211,                0.54812,                0.98909,               0.001288,               0.001288,               0.001288
                     46,                0.00489,                0.01157,                0.45706,                0.97622,                0.83848,                 0.6108,                0.68002,                0.50758,                0.76369,                0.51323,                0.56145,                0.32533,                0.00531,                0.01209,                0.54751,                0.98999,                0.00109,                0.00109,                0.00109
                     47,                0.00486,                0.01155,                0.45261,                0.97321,                   0.84,                0.61174,                0.68217,                 0.5089,                0.76595,                 0.5162,                0.56291,                0.32565,                0.00532,                0.01208,                0.54737,                0.99049,               0.000892,               0.000892,               0.000892
                     48,                0.00481,                0.01147,                0.44587,                0.96925,                0.84642,                0.60808,                 0.6805,                0.50929,                0.76629,                 0.5144,                0.56236,                0.32624,                0.00531,                0.01207,                0.54555,                0.99074,               0.000694,               0.000694,               0.000694
                     49,                0.00478,                0.01143,                0.44074,                0.96666,                0.84103,                0.61266,                 0.6819,                0.51007,                0.75299,                0.51961,                0.56279,                0.32553,                 0.0053,                0.01206,                0.54549,                0.99168,               0.000496,               0.000496,               0.000496
                     50,                0.00476,                0.01141,                0.43594,                0.96408,                0.84174,                 0.6114,                 0.6823,                0.51015,                0.75483,                0.51475,                0.56008,                0.32451,                 0.0053,                0.01206,                0.54407,                0.99256,               0.000298,               0.000298,               0.000298
